universidad_nombre,institucion_nombre,institucion_direccion,api,coordenadas,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,lat,lon,departamento_id,departamento_nombre,municipio_id,municipio_nombre,provincia_id,provincia_nombre,latitud,longitud
Universidad Austral,Universidad Austral,Mariano Acosta 1611,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Mariano Acosta 1611&provincia=6,"-34.47094214462022, -58.847032888622834",,,,,,,,,,,,,,,,,,,,,,-34.47094214462020,-58.847032888622800,6638,Pilar,60638,Pilar,6,Buenos Aires,-34.47094214462020,-58.847032888622800
Universidad Autonoma de Entre rios,Universidad Autonoma de Entre rios,Gral. Justo Jose de Urquiza 732,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Gral. Justo Jose de Urquiza 732,"-32.0752125,-61.5334031",,,,,,,,,,,,,,,,,,,,,,-32.0752125,-61.5334031,82126,San Martin,824044,Cañada Rosquin,82,Santa Fe,-32.0752125,-61.5334031
Universidad Blas Pascal,Universidad Blas Pascal,Rodriguez Peña 1085,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Rodriguez Peña 1085&provincia=2,"-34.59603749231513,-58.39193924933041",,,,,,,,,,,,,,,,,,,,,,-34.59603749231510,-58.39193924933040,2014,Comuna 2,,,2,Ciudad Autonoma de Buenos Aires,-34.59603749231510,-58.39193924933040
Universidad CAECE,Universidad CAECE,Av. de Mayo 866,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Av. de Mayo 866,"-34.608865810462795,-58.378716306442456",,,,,,,,,,,,,,,,,,,,,,-34.608865810462800,-58.378716306442500,2007,Comuna 1,,,2,Ciudad Autonoma de Buenos Aires,-34.608865810462800,-58.378716306442500
Universidad Catolica de Cordoba,Universidad Catolica de Cordoba,Obispo Trejo 323,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Obispo Trejo 323&provincia=14,"-31.4527657,-64.2513093",,,,,,,,,,,,,,,,,,,,,,-31.4527657,-64.2513093,14014,Capital,140077,Cordoba,14,Cordoba,-31.4527657,-64.2513093
Universidad Catolica de Cuyo,Universidad Catolica de Cuyo,Av. Jose Ignacio de la Roza 1516,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Av. Jose Ignacio de la Roza 1516,"-31.5403667,-68.5882198",,,,,,,,,,,,,,,,,,,,,,-31.5403667,-68.5882198,70084,Rivadavia,700084,Rivadavia,70,San Juan,-31.5403667,-68.5882198
Universidad Catolica de La Plata,Universidad Catolica de La Plata,Av. 13 1227,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Av. 13 1227&provincia=6,"-34.924457391060656, -57.950327388915824",,,,,,,,,,,,,,,,,,,,,,-34.924457391060700,-57.950327388915800,6441,La Plata,60441,La Plata,6,Buenos Aires,-34.924457391060700,-57.950327388915800
Universidad Catolica de las Misiones,Universidad Catolica de las Misiones,Av. Jauretche 3300,,"-27.3558553,-55.9417525",,,,,,,,,,,,,,,,,,,,,,-27.3558553,-55.9417525,54028,Capital,540119,Posadas,54,Misiones,-27.3558553,-55.9417525
Universidad Catolica de Salta,Universidad Catolica de Salta,Av. Presidente Roque Saenz Peña 950,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Av. Presidente Roque Saenz Peña 950&provincia=2,"-24.7399552,-65.3940334",,,,,,,,,,,,,,,,,,,,,,-24.7399552,-65.3940334,66028,Capital,660063,Salta,66,Salta,-24.7399552,-65.3940334
Universidad Catolica de Santa Fe,Universidad Catolica de Santa Fe,Echagüe 7151,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Echagüe 7151&provincia=82,"-31.607095036472234, -60.67088878632154",,,,,,,,,,,,,,,,,,,,,,-31.607095036472200,-60.67088878632150,82063,La Capital,820147,Santa Fe,82,Santa Fe,-31.607095036472200,-60.67088878632150
Universidad Catolica de Santiago del Estero,Universidad Catolica de Santiago del Estero,Rivadavia 578,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Rivadavia 578&provincia=6,"-34.46911816523541,-58.51514668806574",,,,,,,,,,,,,,,,,,,,,,-34.46911816523540,-58.51514668806570,6756,San Isidro,60756,San Isidro,6,Buenos Aires,-34.46911816523540,-58.51514668806570
Universidad Champagnat,Universidad Champagnat,Belgrano 721,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Belgrano 721,"-33.8848483,-67.5266833",,,,,,,,,,,,,,,,,,,,,,-33.8848483,-67.5266833,50112,Santa Rosa,500112,Santa Rosa,50,Mendoza,-33.8848483,-67.5266833
Universidad de Belgrano,Universidad de Belgrano,Zabala 1837,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Zabala 1837&provincia=2,"-34.564446626972675,-58.44400348234273",,,,,,,,,,,,,,,,,,,,,,-34.564446626972700,-58.44400348234270,2091,Comuna 13,,,2,Ciudad Autonoma de Buenos Aires,-34.564446626972700,-58.44400348234270
