carrera,carrera_grupo,Carrera_normalizada
Licenciatura en Administración de Salud - Ciclo de Licenciatura,Salud,Administracion Hospitalaria y de Sistemas de Salud
Licenciatura en Administración de Servicios de Salud,Salud,Administracion Hospitalaria y de Sistemas de Salud
Magister de la Universidad de Buenos Aires en Administración de Sistemas y Servicios de Salud,Salud,Administracion Hospitalaria y de Sistemas de Salud
Magister de la Universidad de Buenos Aires en Efectividad Clinica con Orientación en Investigacion y Gestión,Salud,Administracion Hospitalaria y de Sistemas de Salud
Magister de la Universidad de Buenos Aires en Gerenciamiento de Sistemas de Salud,Salud,Administracion Hospitalaria y de Sistemas de Salud
Magister de la Universidad de Buenos Aires en Gestión y Desarrollo de la Seguridad Social,Salud,Administracion Hospitalaria y de Sistemas de Salud
Magister en Administración de Servicios de Enfermeria,Salud,Administracion Hospitalaria y de Sistemas de Salud
Magister en Administración de Servicios de Salud,Salud,Administracion Hospitalaria y de Sistemas de Salud
Magister en Administración y Gestión de Enfermeria,Salud,Administracion Hospitalaria y de Sistemas de Salud
Magister en Economía de la Salud y Administración de Organizaciones de la Salud,Salud,Administracion Hospitalaria y de Sistemas de Salud
Magister en Economía de la Salud y Administración de Organizaciones de Salud,Salud,Administracion Hospitalaria y de Sistemas de Salud
Magister en Economía y Gestión de la Salud,Salud,Administracion Hospitalaria y de Sistemas de Salud
Magister en Gerencia y Administración de Servicios de Salud,Salud,Administracion Hospitalaria y de Sistemas de Salud
Magister en Gerencia y Administración de Sistemas y Servicios de Salud,Salud,Administracion Hospitalaria y de Sistemas de Salud
Magister en Gerencia y Administración en Servicios de Salud,Salud,Administracion Hospitalaria y de Sistemas de Salud
Magister en Gerenciamiento Integral de Servicios de Enfermeria,Salud,Administracion Hospitalaria y de Sistemas de Salud
Magister en Gestión de Servicios de Gerontologia,Salud,Administracion Hospitalaria y de Sistemas de Salud
Magister en Gestión de Servicios de Salud Mental,Salud,Administracion Hospitalaria y de Sistemas de Salud
Magister en Gestión de Sistemas de Salud,Salud,Administracion Hospitalaria y de Sistemas de Salud
Magister en Gestión de Sistemas y Servicios de Salud,Salud,Administracion Hospitalaria y de Sistemas de Salud
Magister en Gestión Estrategica de Sistemas y Servicios de Salud Bucal,Salud,Administracion Hospitalaria y de Sistemas de Salud
"Magister en Gestión Publica de la Salud con Orientación en Practicas Preventivas, Sociales y Comunitarias",Salud,Administracion Hospitalaria y de Sistemas de Salud
Magister en Salud Publica con Orientación en Sistema de Salud,Salud,Administracion Hospitalaria y de Sistemas de Salud
Magister en Salud Publica con Orientación en Sistemas Municipales de Salud,Salud,Administracion Hospitalaria y de Sistemas de Salud
Magister en Salud Publica con Orientaciónes en Establecimientos y Servicios de Atencion Medica,Salud,Administracion Hospitalaria y de Sistemas de Salud
Medico Especialista en Auditoria Medica,Salud,Administracion Hospitalaria y de Sistemas de Salud
Promotor de la Salud,Salud,Administracion Hospitalaria y de Sistemas de Salud
Tecnicatura Universitaria en Administración de Organizaciones de la Salud,Salud,Administracion Hospitalaria y de Sistemas de Salud
Tecnicatura Universitaria en Administración de Salud,Salud,Administracion Hospitalaria y de Sistemas de Salud
Tecnicatura Universitaria en Administración de Salud - MD,Salud,Administracion Hospitalaria y de Sistemas de Salud
Tecnicatura Universitaria en Administración de Servicios de Salud,Salud,Administracion Hospitalaria y de Sistemas de Salud
Analista en Administración Hotelera,"Hoteleria, Gastronomia y Turismo",Hoteleria
Especialista en Direccion y Gestión de Alojamientos Turisticos,"Hoteleria, Gastronomia y Turismo",Hoteleria
Especialista en Empresas y Emprendimientos Turisticos,"Hoteleria, Gastronomia y Turismo",Hoteleria
Licenciatura en Administración de Empresas Hoteleras y Gastronomicas - Ciclo de Licenciatura,"Hoteleria, Gastronomia y Turismo",Hoteleria
Licenciatura en Administración Gastronomica - Ciclo de Licenciatura,"Hoteleria, Gastronomia y Turismo",Gastronomia
Licenciatura en Administración Hotelera,"Hoteleria, Gastronomia y Turismo",Hoteleria
Licenciatura en Administración Hotelera - Ciclo de Licenciatura,"Hoteleria, Gastronomia y Turismo",Hoteleria
Licenciatura en Administración Hotelera - MD,"Hoteleria, Gastronomia y Turismo",Hoteleria
Licenciatura en Gastronomia,"Hoteleria, Gastronomia y Turismo",Gastronomia
Licenciatura en Gastronomia - Ciclo de Licenciatura,"Hoteleria, Gastronomia y Turismo",Gastronomia
Licenciatura en Gestión de Empresas Turisticas y Hoteleras - Ciclo de Licenciatura - MD,"Hoteleria, Gastronomia y Turismo",Turismo
Licenciatura en Gestión Hotelera,"Hoteleria, Gastronomia y Turismo",Hoteleria
Licenciatura en Hoteleria - Ciclo de Licenciatura,"Hoteleria, Gastronomia y Turismo",Hoteleria
Tecnicatura en Gerenciamiento de Servicios Gastronomicos,"Hoteleria, Gastronomia y Turismo",Gastronomia
Tecnicatura en Gestión Gastronomica,"Hoteleria, Gastronomia y Turismo",Gastronomia
Tecnicatura Universitaria en Administración de Empresas Gastronomicas y de Alojamiento,"Hoteleria, Gastronomia y Turismo",Hoteleria
Tecnicatura Universitaria en Administración Hotelera,"Hoteleria, Gastronomia y Turismo",Hoteleria
Tecnicatura Universitaria en Gastronomia,"Hoteleria, Gastronomia y Turismo",Hoteleria
Analista Universitaria en Administración Publica,Administracion Publica,Administracion Publica
Analista Universitaria en Administración y Contabilidad del Sector Publico con Orientación en Administración Maritima,Administracion Publica,Administracion Publica
Ciclo Basico de Formacion- Licenciatura en Administración Publica,Administracion Publica,Administracion Publica
Diplomado en Gestión Publica,Administracion Publica,Administracion Publica
Diplomado en Politicas Publicas con Orientación en Gestión Territorial del Estado - MD,Administracion Publica,Administracion Publica
Diplomado Superíor en Desarrollo Rural (título Propio) - MD,Administracion Publica,Administracion Publica
"Diplomado Superíor en Desarrollo, Politicas Publicas e Integracion Regional (título Propio) - MD",Administracion Publica,Administracion Publica
Diplomado Superíor en Gestión Publica Local,Administracion Publica,Administracion Publica
Diplomado Superíor en Gestión y Control de Politicas Publicas (título Propio),Administracion Publica,Administracion Publica
Especialista en Administración Financiera en el Sector Publico,Administracion Publica,Administracion Publica
Especialista en Administración Financiera Gubernamental,Administracion Publica,Administracion Publica
Especialista en Administración Publica Provincial y Municipal,Administracion Publica,Administracion Publica
Especialista en Control Gubernamental,Administracion Publica,Administracion Publica
Especialista en Direccion de Organizaciones Publicas,Administracion Publica,Administracion Publica
Especialista en Gerencia y Vinculacion Tecnológica,Administracion Publica,Administracion Publica
Especialista en Gestión Estrategica de Organizaciones Publicas,Administracion Publica,Administracion Publica
Especialista en Gestión Publica,Administracion Publica,Administracion Publica
Especialista en Gestión Social,Administracion Publica,Administracion Publica
Especialista en Planificacion y Gestión de Recursos Materiales de Organizaciones Militares Terrestres,Administracion Publica,Administracion Publica
Licenciatura en Administración Publica - Ciclo de Complementacion Curricular - MD,Administracion Publica,Administracion Publica
Licenciatura en Administración Publica - Ciclo de Licenciatura,Administracion Publica,Administracion Publica
Licenciatura en Administración y Contabilidad del Sector Publico con Orientación en Administración Maritima,Administracion Publica,Administracion Publica
Licenciatura en Conducción y Gestión Operativa  - Orientación Armas,Administracion Publica,Administracion Publica
Licenciatura en Conducción y Gestión Operativa  - Orientación Arsenales,Administracion Publica,Administracion Publica
Licenciatura en Conducción y Gestión Operativa  - Orientación Intendencia,Administracion Publica,Administracion Publica
Licenciatura en Gestión de Politicas Publicas - Ciclo de Licenciatura,Administracion Publica,Administracion Publica
Licenciatura en Gestión Publica - Ciclo de Complementacion Curricular,Administracion Publica,Administracion Publica
Licenciatura en Gestión y Administración Universitaria - Ciclo de Licenciatura,Administracion Publica,Administracion Publica
Magister de la Universidad de Buenos Aires en Administración Publica,Administracion Publica,Administracion Publica
Magister de la Universidad de Buenos Aires en Gestión y Desarrollo Gubernamental,Administracion Publica,Administracion Publica
Magister en Administración Publica,Administracion Publica,Administracion Publica
Magister en Administración publica - MD,Administracion Publica,Administracion Publica
"Magister en Administración Publica, Provincial y Municipal",Administracion Publica,Administracion Publica
Magister en Diseño y Gestión de Programas Sociales,Administracion Publica,Administracion Publica
Magister en Evaluacion de Politicas Publicas,Administracion Publica,Administracion Publica
Magister en Gerencia Publica,Administracion Publica,Administracion Publica
Magister en Gestión Financiera del Sector Publico,Administracion Publica,Administracion Publica
Magister en Gestión Publica,Administracion Publica,Administracion Publica
Magister en Politicas de Planificacion y Evaluacion de la Educación Superíor,Administracion Publica,Administracion Publica
Magister en Politicas Publicas para el Desarrollo con Inclusion Social,Administracion Publica,Administracion Publica
Magister en Politicas Publicas para la Educación,Administracion Publica,Administracion Publica
Tecnicatura en Administración Publica,Administracion Publica,Administracion Publica
Tecnicatura en Administración y Gestión de Politicas Sociales,Administracion Publica,Administracion Publica
Tecnicatura en Administración y Gestión Publica - MD,Administracion Publica,Administracion Publica
Tecnicatura en Control y Auditoria Gubernamental - MD,Administracion Publica,Administracion Publica
Tecnicatura en Gestión Publica,Administracion Publica,Administracion Publica
Tecnicatura Superíor en Administración Portuaria,Administracion Publica,Administracion Publica
Tecnicatura Superíor en Administración Publica,Administracion Publica,Administracion Publica
Tecnicatura Universitaria en Administración Publica,Administracion Publica,Administracion Publica
Tecnicatura Universitaria en Asuntos Municipales,Administracion Publica,Administracion Publica
Tecnicatura Universitaria en Gestión Administrativa de Bienes y Servicios del Estado,Administracion Publica,Administracion Publica
Tecnicatura Universitaria en Gestión y Administración Publica,Administracion Publica,Administracion Publica
Especialista en Evaluacion Ambiental,Naturales,Administracion y Gestion Ambiental
Especialista en Evaluacion de Contaminacion Ambiental y su Riesgo Toxicologico,Naturales,Administracion y Gestion Ambiental
