anio,carrera_grupo,estudiantes_total,estudiantes_varones,estudiantes_mujeres,nuevos_inscriptos_total,nuevos_inscriptos_varones,nuevos_inscriptos_mujeres,egresados_total,egresados_varones,egresados_mujeres,estudiantes_mujeres_pct,inscripciones_mujeres_pct,estudiantes_hombres_pct
2015,Educacion,148580.0,36965.0,111615.0,40333.0,10476.0,29857.0,10635.0,2386.0,8249.0,0.751211468569121,0.7402623162174894,0.24878853143087898
2015,Exactas,25661.0,12503.0,13158.0,6625.0,2942.0,3683.0,1593.0,780.0,813.0,0.5127625579673435,0.5559245283018868,0.48723744203265656
2015,"Hoteleria, Gastronomia y Turismo",27433.0,8893.0,18540.0,7658.0,2594.0,5064.0,1969.0,506.0,1463.0,0.6758283818758429,0.6612692609036301,0.324171618124157
2015,Informatica,149472.0,124483.0,24989.0,34322.0,29001.0,5321.0,6889.0,5558.0,1331.0,0.16718181331620638,0.15503175805605734,0.8328181866837936
2015,Ingenieria,142962.0,112568.0,30394.0,30483.0,23131.0,7352.0,6936.0,5481.0,1455.0,0.21260195016857628,0.24118361053702064,0.7873980498314237
2015,Juridicas,269190.0,115817.0,153373.0,64386.0,28594.0,35792.0,23786.0,10145.0,13641.0,0.5697574204093763,0.5558972447426459,0.43024257959062373
2015,Naturales,118064.0,54690.0,63374.0,24454.0,11034.0,13420.0,7259.0,3470.0,3789.0,0.5367766635045399,0.548785474768954,0.4632233364954601
2015,Otros,64140.0,34891.0,29249.0,23142.0,12436.0,10706.0,4472.0,2624.0,1848.0,0.4560180854381041,0.4626220724224354,0.5439819145618958
2015,Psicologia,146028.0,26989.0,119039.0,34608.0,6989.0,27619.0,8567.0,1172.0,7395.0,0.8151792806858958,0.7980524734165511,0.18482071931410415
2015,Salud,318670.0,87057.0,231613.0,78781.0,21188.0,57593.0,25961.0,6718.0,19243.0,0.7268114350268302,0.731051903377718,0.27318856497316973
2015,Sociales,114342.0,47018.0,67324.0,27063.0,11318.0,15745.0,6143.0,2252.0,3891.0,0.5887950184534116,0.5817906366626021,0.4112049815465883
2016,Arquitectura y Urbanismo,64425.0,32028.0,32397.0,12426.0,6354.0,6072.0,5530.0,2298.0,3232.0,0.5028637951105938,0.4886528247223563,0.4971362048894063
2016,Artes,61662.0,26799.0,34863.0,17791.0,8299.0,9492.0,1859.0,667.0,1192.0,0.5653887321202685,0.5335281884098702,0.4346112678797314
2016,Comunicacion,114778.0,42795.0,71983.0,30053.0,12283.0,17770.0,7793.0,2519.0,5274.0,0.6271498022269076,0.5912887232555818,0.3728501977730924
2016,Diseño,48110.0,17222.0,30888.0,12597.0,4884.0,7713.0,3431.0,963.0,2468.0,0.6420286842652255,0.6122886401524172,0.3579713157347745
2016,Economicas,326102.0,154960.0,171142.0,75308.0,37968.0,37340.0,20147.0,9500.0,10647.0,0.5248112553740855,0.49583045625962713,0.4751887446259146
2016,Educacion,155248.0,38544.0,116704.0,45513.0,11902.0,33611.0,10321.0,2297.0,8024.0,0.7517262702257034,0.73849229890361,0.2482737297742966
2016,Exactas,26514.0,12855.0,13659.0,6694.0,3075.0,3619.0,1603.0,742.0,861.0,0.5151618013125141,0.5406334030475052,0.48483819868748584
2016,"Hoteleria, Gastronomia y Turismo",26911.0,8669.0,18242.0,7691.0,2653.0,5038.0,1752.0,479.0,1273.0,0.677864070454461,0.6550513587309843,0.322135929545539
2016,Informatica,149699.0,125243.0,24456.0,36551.0,30697.0,5854.0,6474.0,5254.0,1220.0,0.16336782476836853,0.1601597767502941,0.8366321752316315
2016,Ingenieria,146703.0,114611.0,32092.0,33634.0,25573.0,8061.0,6567.0,5120.0,1447.0,0.2187548993544781,0.23966819290004163,0.7812451006455219
