anio,carrera_grupo,institucion_gestion,carrera_titulo_nivel,Modalidad,estudiantes_total,estudiantes_varones,estudiantes_mujeres,nuevos_inscriptos_total,nuevos_inscriptos_varones,nuevos_inscriptos_mujeres,egresados_total,egresados_varones,egresados_mujeres,estudiantes_mujeres_pct,inscripciones_mujeres_pct,estudiantes_hombres_pct
2011,Exactas,Privada,Grado,Distancia,181.0,42.0,139.0,61.0,8.0,53.0,17.0,5.0,12.0,0.7679558011049724,0.8688524590163934,0.23204419889502761
2011,Exactas,Privada,Grado,Presencial,442.0,246.0,196.0,77.0,42.0,35.0,29.0,13.0,16.0,0.4434389140271493,0.45454545454545453,0.5565610859728507
2011,Exactas,Privada,Pregrado,Presencial,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,7.0,,,
2011,"Hoteleria, Gastronomia y Turismo",Estatal,Grado,Distancia,878.0,206.0,672.0,265.0,49.0,216.0,65.0,8.0,57.0,0.765375854214123,0.8150943396226416,0.23462414578587698
2011,"Hoteleria, Gastronomia y Turismo",Estatal,Grado,Presencial,10502.0,3390.0,7112.0,2488.0,871.0,1617.0,287.0,71.0,216.0,0.6772043420300895,0.64991961414791,0.3227956579699105
2011,"Hoteleria, Gastronomia y Turismo",Estatal,Posgrado,Presencial,179.0,113.0,66.0,52.0,24.0,28.0,7.0,3.0,4.0,0.3687150837988827,0.5384615384615384,0.6312849162011173
2011,"Hoteleria, Gastronomia y Turismo",Estatal,Pregrado,Distancia,307.0,82.0,225.0,156.0,51.0,105.0,21.0,3.0,18.0,0.7328990228013029,0.6730769230769231,0.2671009771986971
2011,"Hoteleria, Gastronomia y Turismo",Estatal,Pregrado,Presencial,4273.0,1465.0,2808.0,1383.0,515.0,868.0,312.0,84.0,228.0,0.6571495436461502,0.6276211135213304,0.34285045635384975
2011,"Hoteleria, Gastronomia y Turismo",Privada,Grado,Distancia,443.0,116.0,327.0,176.0,60.0,116.0,34.0,6.0,28.0,0.7381489841986456,0.6590909090909091,0.2618510158013544
2011,"Hoteleria, Gastronomia y Turismo",Privada,Grado,Presencial,8258.0,2552.0,5706.0,2028.0,647.0,1381.0,520.0,125.0,395.0,0.6909663356744975,0.6809664694280079,0.30903366432550256
2011,"Hoteleria, Gastronomia y Turismo",Privada,Posgrado,Presencial,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0
2011,"Hoteleria, Gastronomia y Turismo",Privada,Pregrado,Distancia,485.0,155.0,330.0,243.0,124.0,119.0,38.0,5.0,33.0,0.6804123711340206,0.4897119341563786,0.31958762886597936
2011,"Hoteleria, Gastronomia y Turismo",Privada,Pregrado,Presencial,463.0,142.0,321.0,126.0,54.0,72.0,229.0,59.0,170.0,0.693304535637149,0.5714285714285714,0.30669546436285094
2011,Informatica,Estatal,Grado,Distancia,1102.0,793.0,309.0,268.0,187.0,81.0,48.0,20.0,28.0,0.28039927404718695,0.30223880597014924,0.7196007259528131
2011,Informatica,Estatal,Grado,Presencial,109612.0,87969.0,21643.0,21975.0,18301.0,3674.0,3312.0,2305.0,1007.0,0.19745100901361165,0.16718998862343573,0.8025489909863883
2011,Informatica,Estatal,Posgrado,Distancia,63.0,17.0,46.0,58.0,17.0,41.0,1.0,1.0,0.0,0.7301587301587301,0.7068965517241379,0.2698412698412698
2011,Informatica,Estatal,Posgrado,Presencial,2258.0,1515.0,743.0,489.0,372.0,117.0,119.0,84.0,35.0,0.32905225863596105,0.2392638036809816,0.670947741364039
2011,Informatica,Estatal,Pregrado,Distancia,775.0,523.0,252.0,251.0,178.0,73.0,84.0,53.0,31.0,0.3251612903225806,0.2908366533864542,0.6748387096774193
2011,Informatica,Estatal,Pregrado,Presencial,21353.0,16991.0,4362.0,7345.0,6003.0,1342.0,1762.0,1370.0,392.0,0.2042804289795345,0.18270932607215792,0.7957195710204655
2011,Informatica,Privada,Grado,Distancia,2162.0,1782.0,380.0,1030.0,874.0,156.0,100.0,78.0,22.0,0.1757631822386679,0.15145631067961166,0.8242368177613321
2011,Informatica,Privada,Grado,Presencial,25827.0,22384.0,3443.0,5333.0,4663.0,670.0,1488.0,1237.0,251.0,0.13331010183141673,0.12563285205325334,0.8666898981685832
2011,Informatica,Privada,Posgrado,Presencial,130.0,99.0,31.0,45.0,39.0,6.0,20.0,11.0,9.0,0.23846153846153847,0.13333333333333333,0.7615384615384615
2011,Informatica,Privada,Pregrado,Distancia,120.0,103.0,17.0,67.0,57.0,10.0,4.0,4.0,0.0,0.14166666666666666,0.14925373134328357,0.8583333333333333
2011,Informatica,Privada,Pregrado,Presencial,566.0,509.0,57.0,229.0,200.0,29.0,616.0,539.0,77.0,0.10070671378091872,0.12663755458515283,0.8992932862190812
2011,Ingenieria,Estatal,Grado,Distancia,136.0,105.0,31.0,45.0,35.0,10.0,20.0,12.0,8.0,0.22794117647058823,0.2222222222222222,0.7720588235294118
2011,Ingenieria,Estatal,Grado,Presencial,108536.0,87972.0,20564.0,21519.0,17135.0,4384.0,4156.0,3254.0,902.0,0.18946708926070613,0.20372693898415353,0.8105329107392939
2011,Ingenieria,Estatal,Posgrado,Presencial,2237.0,1465.0,772.0,640.0,415.0,225.0,231.0,151.0,80.0,0.3451050514081359,0.3515625,0.6548949485918641
2011,Ingenieria,Estatal,Pregrado,Presencial,5168.0,4719.0,449.0,1918.0,1770.0,148.0,896.0,768.0,128.0,0.08688080495356038,0.07716371220020855,0.9131191950464397
2011,Ingenieria,Privada,Grado,Presencial,8169.0,6993.0,1176.0,1712.0,1443.0,269.0,530.0,453.0,77.0,0.14395886889460155,0.15712616822429906,0.8560411311053985
2011,Ingenieria,Privada,Posgrado,Presencial,52.0,42.0,10.0,20.0,17.0,3.0,9.0,8.0,1.0,0.19230769230769232,0.15,0.8076923076923077
2011,Ingenieria,Privada,Pregrado,Presencial,0.0,0.0,0.0,0.0,0.0,0.0,43.0,36.0,7.0,,,
2011,Juridicas,Estatal,Grado,Distancia,1264.0,735.0,529.0,930.0,564.0,366.0,34.0,12.0,22.0,0.4185126582278481,0.3935483870967742,0.5814873417721519
2011,Juridicas,Estatal,Grado,Presencial,148293.0,61072.0,87221.0,26129.0,11260.0,14869.0,7490.0,2941.0,4549.0,0.58816667003837,0.5690611963718474,0.41183332996163
2011,Juridicas,Estatal,Posgrado,Presencial,15057.0,6399.0,8658.0,3597.0,1513.0,2084.0,765.0,307.0,458.0,0.5750149432157801,0.5793716986377537,0.42498505678421994
2011,Juridicas,Estatal,Pregrado,Distancia,1962.0,953.0,1009.0,654.0,320.0,334.0,67.0,26.0,41.0,0.5142711518858308,0.5107033639143731,0.4857288481141692
2011,Juridicas,Estatal,Pregrado,Presencial,8627.0,4234.0,4393.0,3257.0,1556.0,1701.0,3049.0,1397.0,1652.0,0.5092152544337545,0.5222597482345717,0.4907847455662455
2011,Juridicas,Privada,Grado,Distancia,23145.0,10207.0,12938.0,9032.0,4307.0,4725.0,499.0,242.0,257.0,0.55899762367682,0.5231399468556245,0.44100237632317996
2011,Juridicas,Privada,Grado,Presencial,44574.0,20383.0,24191.0,9463.0,4377.0,5086.0,3195.0,1422.0,1773.0,0.5427154843630816,0.5374616929092254,0.4572845156369184
2011,Juridicas,Privada,Posgrado,Presencial,6327.0,3288.0,3039.0,2199.0,1084.0,1115.0,536.0,263.0,273.0,0.48032242769084876,0.5070486584811278,0.5196775723091512
2011,Juridicas,Privada,Pregrado,Distancia,6900.0,3523.0,3377.0,4311.0,2286.0,2025.0,902.0,427.0,475.0,0.48942028985507247,0.4697286012526096,0.5105797101449275
2011,Juridicas,Privada,Pregrado,Presencial,4138.0,2350.0,1788.0,1669.0,977.0,692.0,1156.0,616.0,540.0,0.43209279845335913,0.41461953265428403,0.5679072015466409
2011,Naturales,Estatal,Grado,Distancia,2776.0,574.0,2202.0,946.0,240.0,706.0,16.0,4.0,12.0,0.7932276657060519,0.7463002114164905,0.20677233429394812
2011,Naturales,Estatal,Grado,Presencial,85081.0,41710.0,43371.0,14484.0,6826.0,7658.0,3614.0,1894.0,1720.0,0.50976128630364,0.5287213476940071,0.49023871369635996
2011,Naturales,Estatal,Posgrado,Distancia,7.0,6.0,1.0,7.0,6.0,1.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.8571428571428571
2011,Naturales,Estatal,Posgrado,Presencial,10468.0,4545.0,5923.0,2648.0,1216.0,1432.0,1050.0,424.0,626.0,0.5658196408100878,0.540785498489426,0.4341803591899121
2011,Naturales,Estatal,Pregrado,Distancia,654.0,405.0,249.0,183.0,107.0,76.0,55.0,40.0,15.0,0.38073394495412843,0.41530054644808745,0.6192660550458715
2011,Naturales,Estatal,Pregrado,Presencial,7428.0,3601.0,3827.0,2549.0,1206.0,1343.0,580.0,271.0,309.0,0.5152127086698977,0.5268732836406433,0.4847872913301023
2011,Naturales,Privada,Grado,Distancia,480.0,242.0,238.0,175.0,90.0,85.0,6.0,2.0,4.0,0.49583333333333335,0.4857142857142857,0.5041666666666667
2011,Naturales,Privada,Grado,Presencial,6994.0,3316.0,3678.0,1556.0,705.0,851.0,546.0,249.0,297.0,0.5258793251358307,0.5469151670951157,0.4741206748641693
2011,Naturales,Privada,Posgrado,Presencial,1195.0,448.0,747.0,837.0,265.0,572.0,158.0,54.0,104.0,0.6251046025104603,0.6833930704898447,0.37489539748953976
2011,Naturales,Privada,Pregrado,Distancia,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,5.0,,,
2011,Naturales,Privada,Pregrado,Presencial,1158.0,900.0,258.0,441.0,326.0,115.0,157.0,98.0,59.0,0.22279792746113988,0.26077097505668934,0.7772020725388601
2011,Otros,Estatal,Grado,Distancia,509.0,275.0,234.0,360.0,236.0,124.0,1.0,0.0,1.0,0.45972495088408644,0.34444444444444444,0.5402750491159135
2011,Otros,Estatal,Grado,Presencial,25618.0,13336.0,12282.0,10259.0,5397.0,4862.0,914.0,555.0,359.0,0.47942852681708176,0.47392533385320207,0.5205714731829183
2011,Otros,Estatal,Posgrado,Presencial,3952.0,1913.0,2039.0,861.0,503.0,358.0,248.0,179.0,69.0,0.5159412955465587,0.41579558652729387,0.4840587044534413
2011,Otros,Estatal,Pregrado,Distancia,1394.0,596.0,798.0,562.0,203.0,359.0,59.0,34.0,25.0,0.5724533715925395,0.6387900355871886,0.42754662840746055
2011,Otros,Estatal,Pregrado,Presencial,7445.0,4079.0,3366.0,3059.0,1569.0,1490.0,2189.0,884.0,1305.0,0.45211551376762926,0.4870872834259562,0.5478844862323707
2011,Otros,Privada,Grado,Distancia,796.0,447.0,349.0,413.0,233.0,180.0,21.0,9.0,12.0,0.43844221105527637,0.4358353510895884,0.5615577889447236
2011,Otros,Privada,Grado,Presencial,9256.0,5442.0,3814.0,3262.0,1867.0,1395.0,756.0,533.0,223.0,0.412057044079516,0.42765174739423667,0.587942955920484
2011,Otros,Privada,Posgrado,Presencial,311.0,183.0,128.0,93.0,61.0,32.0,47.0,39.0,8.0,0.4115755627009646,0.34408602150537637,0.5884244372990354
2011,Otros,Privada,Pregrado,Distancia,619.0,343.0,276.0,383.0,221.0,162.0,0.0,0.0,0.0,0.4458804523424879,0.42297650130548303,0.5541195476575121
2011,Otros,Privada,Pregrado,Presencial,974.0,383.0,591.0,304.0,106.0,198.0,173.0,63.0,110.0,0.606776180698152,0.6513157894736842,0.3932238193018481
2011,Psicologia,Estatal,Grado,Distancia,392.0,33.0,359.0,60.0,4.0,56.0,9.0,1.0,8.0,0.9158163265306123,0.9333333333333333,0.08418367346938775
2011,Psicologia,Estatal,Grado,Presencial,92723.0,17052.0,75671.0,18530.0,4016.0,14514.0,4443.0,580.0,3863.0,0.8160974084099953,0.7832703723691311,0.18390259159000463
2011,Psicologia,Estatal,Posgrado,Distancia,749.0,158.0,591.0,78.0,31.0,47.0,26.0,3.0,23.0,0.7890520694259012,0.6025641025641025,0.2109479305740988
2011,Psicologia,Estatal,Posgrado,Presencial,5279.0,886.0,4393.0,1162.0,183.0,979.0,212.0,29.0,183.0,0.8321651827997727,0.842512908777969,0.1678348172002273
2011,Psicologia,Estatal,Pregrado,Presencial,2706.0,464.0,2242.0,1155.0,200.0,955.0,251.0,25.0,226.0,0.8285291943828529,0.8268398268398268,0.1714708056171471
2011,Psicologia,Privada,Grado,Distancia,418.0,8.0,410.0,135.0,2.0,133.0,18.0,1.0,17.0,0.9808612440191388,0.9851851851851852,0.019138755980861243
2011,Psicologia,Privada,Grado,Presencial,27792.0,4758.0,23034.0,6318.0,1097.0,5221.0,2322.0,305.0,2017.0,0.8287996545768567,0.8263691041468819,0.17120034542314336
2011,Psicologia,Privada,Posgrado,Distancia,510.0,121.0,389.0,422.0,98.0,324.0,93.0,22.0,71.0,0.7627450980392156,0.7677725118483413,0.2372549019607843
2011,Psicologia,Privada,Posgrado,Presencial,1623.0,366.0,1257.0,718.0,184.0,534.0,133.0,37.0,96.0,0.7744916820702403,0.7437325905292479,0.2255083179297597
2011,Psicologia,Privada,Pregrado,Presencial,481.0,95.0,386.0,129.0,25.0,104.0,232.0,33.0,199.0,0.8024948024948025,0.8062015503875969,0.19750519750519752
2011,Salud,Estatal,Grado,Distancia,859.0,202.0,657.0,276.0,69.0,207.0,41.0,8.0,33.0,0.7648428405122235,0.75,0.2351571594877765
2011,Salud,Estatal,Grado,Presencial,183623.0,49911.0,133712.0,39503.0,10202.0,29301.0,10128.0,2790.0,7338.0,0.728187645338547,0.741741133584791,0.2718123546614531
2011,Salud,Estatal,Posgrado,Presencial,13868.0,4946.0,8922.0,3028.0,1180.0,1848.0,1596.0,701.0,895.0,0.6433516008076147,0.6103038309114928,0.35664839919238533
2011,Salud,Estatal,Pregrado,Distancia,2236.0,573.0,1663.0,839.0,203.0,636.0,115.0,19.0,96.0,0.7437388193202147,0.7580452920143027,0.2562611806797853
2011,Salud,Estatal,Pregrado,Presencial,12653.0,2685.0,9968.0,3806.0,819.0,2987.0,2912.0,539.0,2373.0,0.787797360309808,0.7848134524435102,0.21220263969019204
2011,Salud,Privada,Grado,Distancia,2227.0,709.0,1518.0,1466.0,466.0,1000.0,465.0,98.0,367.0,0.6816344858554109,0.6821282401091405,0.31836551414458913
2011,Salud,Privada,Grado,Presencial,44977.0,13285.0,31692.0,12119.0,3512.0,8607.0,5163.0,1263.0,3900.0,0.7046268092580652,0.7102071127980857,0.29537319074193474
2011,Salud,Privada,Posgrado,Distancia,14.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6428571428571429,,0.35714285714285715
2011,Salud,Privada,Posgrado,Presencial,6017.0,2498.0,3519.0,2211.0,942.0,1269.0,848.0,377.0,471.0,0.5848429449891973,0.5739484396200815,0.41515705501080274
2011,Salud,Privada,Pregrado,Presencial,2169.0,591.0,1578.0,904.0,201.0,703.0,3143.0,975.0,2168.0,0.7275242047026279,0.7776548672566371,0.27247579529737204
2011,Sociales,Estatal,Grado,Distancia,4582.0,1722.0,2860.0,1768.0,707.0,1061.0,115.0,34.0,81.0,0.624181580096028,0.6001131221719457,0.3758184199039721
2011,Sociales,Estatal,Grado,Presencial,64897.0,28354.0,36543.0,12291.0,5690.0,6601.0,1911.0,818.0,1093.0,0.5630922846972896,0.5370596371328614,0.43690771530271044
2011,Sociales,Estatal,Posgrado,Presencial,11333.0,4340.0,6993.0,3159.0,1276.0,1883.0,787.0,290.0,497.0,0.6170475602223595,0.5960747071858183,0.38295243977764054
2011,Sociales,Estatal,Pregrado,Distancia,978.0,267.0,711.0,464.0,131.0,333.0,167.0,42.0,125.0,0.7269938650306749,0.7176724137931034,0.27300613496932513
2011,Sociales,Estatal,Pregrado,Presencial,3041.0,1264.0,1777.0,787.0,320.0,467.0,536.0,222.0,314.0,0.5843472541926997,0.5933926302414231,0.4156527458073002
2011,Sociales,Privada,Grado,Distancia,3390.0,1280.0,2110.0,2051.0,791.0,1260.0,13.0,7.0,6.0,0.6224188790560472,0.6143344709897611,0.3775811209439528
2011,Sociales,Privada,Grado,Presencial,13821.0,5435.0,8386.0,3770.0,1545.0,2225.0,1097.0,345.0,752.0,0.6067578322842052,0.5901856763925729,0.3932421677157948
2011,Sociales,Privada,Posgrado,Distancia,103.0,33.0,70.0,39.0,5.0,34.0,34.0,4.0,30.0,0.6796116504854369,0.8717948717948718,0.32038834951456313
2011,Sociales,Privada,Posgrado,Presencial,2328.0,1046.0,1282.0,925.0,374.0,551.0,287.0,128.0,159.0,0.5506872852233677,0.5956756756756757,0.4493127147766323
2011,Sociales,Privada,Pregrado,Presencial,166.0,93.0,73.0,25.0,13.0,12.0,330.0,121.0,209.0,0.4397590361445783,0.48,0.5602409638554217
2012,Arquitectura y Urbanismo,Estatal,Grado,Presencial,50756.0,25930.0,24826.0,7751.0,3864.0,3887.0,1995.0,904.0,1091.0,0.48912443849003073,0.5014836795252225,0.5108755615099693
2012,Arquitectura y Urbanismo,Estatal,Posgrado,Presencial,1075.0,428.0,647.0,368.0,161.0,207.0,45.0,16.0,29.0,0.6018604651162791,0.5625,0.39813953488372095
