universidad_nombre,institucion_nombre,institucion_direccion,api,coordenadas,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,lat,lon,departamento_id_x,departamento_nombre_x,municipio_id_x,municipio_nombre_x,provincia_id_x,provincia_nombre_x,latitud_x,longitud_x,departamento_id_y,departamento_nombre_y,municipio_id_y,municipio_nombre_y,provincia_id_y,provincia_nombre_y,latitud_y,longitud_y
Pontificia Universidad Catolica Argentina Santa Maria de los Buenos Aires,Pontificia Universidad Catolica Argentina Santa Maria de los Buenos Aires,AvENIDA Alicia Moreau de Justo 1600,http://apis.datos.gob.ar/georef/api/direcciones?direccion=AvENIDA Alicia Moreau de Justo 1600&provincia=2,"-34.6148453,-58.3668853",,,,,,,,,,,,,,,,,,,,,,-34.6148453,-58.3668853,2007.0,Comuna 1,,,2.0,Ciudad Autonoma de Buenos Aires,-34.6148453,-58.3668853,02007,Comuna 1,,,02,Ciudad Autónoma de Buenos Aires,-34.6148453,-58.3668853
Universidad  Favaloro,Universidad  Favaloro,Av. Entre Rios 495,,"-34.6148113,-58.3940258",,,,,,,,,,,,,,,,,,,,,,-34.6148113,-58.3940258,2021.0,Comuna 3,,,2.0,Ciudad Autonoma de Buenos Aires,-34.61481129999999,-58.394025799999994,02021,Comuna 3,,,02,Ciudad Autónoma de Buenos Aires,-34.6148113,-58.3940258
Universidad Abierta Interamericana,Universidad Abierta Interamericana,Av. San Juan 951,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Av. San Juan 951&provincia=2,"-34.6221199173329, -58.379325181549746",,,,,,,,,,,,,,,,,,,,,,-34.6221199173329, -58.379325181549746,2007.0,Comuna 1,,,2.0,Ciudad Autonoma de Buenos Aires,-34.622119917332896,-58.3793251815497,02007,Comuna 1,,,02,Ciudad Autónoma de Buenos Aires,-34.6221199173329, -58.379325181549746
Universidad Adventista del Plata,Universidad Adventista del Plata,25 de mayo 99,http://apis.datos.gob.ar/georef/api/direcciones?direccion=25 de mayo 99,"-32.0759594,-60.4665987",,,,,,,,,,,,,,,,,,,,,,-32.0759594,-60.4665987,30021.0,Diamante,,,30.0,Entre Rios,-32.075959399999995,-60.466598700000006,30021,Diamante,,,30,Entre Ríos,-32.0759594,-60.4665987
Universidad Argentina de la Empresa,Universidad Argentina de la Empresa,Lima 775,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Lima 775,"-34.6173746323554,-58.381525671564",,,,,,,,,,,,,,,,,,,,,,-34.6173746323554,-58.381525671564,2007.0,Comuna 1,,,2.0,Ciudad Autonoma de Buenos Aires,-34.6173746323554,-58.381525671564,02007,Comuna 1,,,02,Ciudad Autónoma de Buenos Aires,-34.6173746323554,-58.381525671564
Universidad Argentina John F. Kennedy,Universidad Argentina John F. Kennedy,Bartolome Mitre 1411,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Bartolome Mitre 1411&provincia=2,"-34.60762266844467,-58.38645625343852",,,,,,,,,,,,,,,,,,,,,,-34.60762266844467,-58.38645625343852,2007.0,Comuna 1,,,2.0,Ciudad Autonoma de Buenos Aires,-34.6076226684447,-58.3864562534385,02007,Comuna 1,,,02,Ciudad Autónoma de Buenos Aires,-34.60762266844467,-58.38645625343852
Universidad Atlantida Argentina,Universidad Atlantida Argentina,Belgrano 89,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Belgrano 89&provincia=6,"-37.1552476,-57.7427199",,,,,,,,,,,,,,,,,,,,,,-37.1552476,-57.7427199,6518.0,Mar Chiquita,60518.0,Mar Chiquita,6.0,Buenos Aires,-37.1552476,-57.742719900000004,06518,Mar Chiquita,060518,Mar Chiquita,06,Buenos Aires,-37.1552476,-57.7427199
Universidad Austral,Universidad Austral,Mariano Acosta 1611,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Mariano Acosta 1611&provincia=6,"-34.47094214462022, -58.847032888622834",,,,,,,,,,,,,,,,,,,,,,-34.47094214462022, -58.847032888622834,6638.0,Pilar,60638.0,Pilar,6.0,Buenos Aires,-34.470942144620196,-58.8470328886228,06638,Pilar,060638,Pilar,06,Buenos Aires,-34.47094214462022, -58.847032888622834
Universidad Autonoma de Entre rios,Universidad Autonoma de Entre rios,Gral. Justo Jose de Urquiza 732,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Gral. Justo Jose de Urquiza 732,"-32.0752125,-61.5334031",,,,,,,,,,,,,,,,,,,,,,-32.0752125,-61.5334031,82126.0,San Martin,824044.0,Cañada Rosquin,82.0,Santa Fe,-32.0752125,-61.533403099999994,82126,San Martín,824044,Cañada Rosquín,82,Santa Fe,-32.0752125,-61.5334031
Universidad Blas Pascal,Universidad Blas Pascal,Rodriguez Peña 1085,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Rodriguez Peña 1085&provincia=2,"-34.59603749231513,-58.39193924933041",,,,,,,,,,,,,,,,,,,,,,-34.59603749231513,-58.39193924933041,2014.0,Comuna 2,,,2.0,Ciudad Autonoma de Buenos Aires,-34.596037492315105,-58.3919392493304,02014,Comuna 2,,,02,Ciudad Autónoma de Buenos Aires,-34.59603749231513,-58.39193924933041
