anio,carrera_grupo,carrera_titulo_nivel,Modalidad,estudiantes_total,estudiantes_varones,estudiantes_mujeres,nuevos_inscriptos_total,nuevos_inscriptos_varones,nuevos_inscriptos_mujeres,egresados_total,egresados_varones,egresados_mujeres,estudiantes_mujeres_pct,inscripciones_mujeres_pct,estudiantes_hombres_pct
2011,Informatica,Posgrado,Distancia,63.0,17.0,46.0,58.0,17.0,41.0,1.0,1.0,0.0,0.033576642335766425,0.04691075514874142,0.012408759124087591
2011,Informatica,Posgrado,Presencial,2388.0,1614.0,774.0,534.0,411.0,123.0,139.0,95.0,44.0,0.7068493150684931,0.30073349633251834,1.473972602739726
2011,Informatica,Pregrado,Distancia,895.0,626.0,269.0,318.0,235.0,83.0,88.0,57.0,31.0,0.02722672064777328,0.02301081230939839,0.06336032388663967
2011,Informatica,Pregrado,Presencial,21919.0,17500.0,4419.0,7574.0,6203.0,1371.0,2378.0,1909.0,469.0,0.04429098344224833,0.0490817312855762,0.1753999117989015
2011,Ingenieria,Grado,Distancia,136.0,105.0,31.0,45.0,35.0,10.0,20.0,12.0,8.0,0.3333333333333333,0.13513513513513514,1.1290322580645162
2011,Ingenieria,Grado,Presencial,116705.0,94965.0,21740.0,23231.0,18578.0,4653.0,4686.0,3707.0,979.0,2.5367561260210034,2.198960302457467,11.081096849474912
2011,Ingenieria,Posgrado,Presencial,2289.0,1507.0,782.0,660.0,432.0,228.0,240.0,159.0,81.0,1.4699248120300752,1.7272727272727273,2.832706766917293
2011,Ingenieria,Pregrado,Presencial,5168.0,4719.0,449.0,1918.0,1770.0,148.0,939.0,804.0,135.0,0.0739581617525943,0.103424178895877,0.7773019271948608
2011,Juridicas,Grado,Distancia,24409.0,10942.0,13467.0,9962.0,4871.0,5091.0,533.0,254.0,279.0,13.644376899696049,7.9546875,11.08611955420466
2011,Juridicas,Grado,Presencial,192867.0,81455.0,111412.0,35592.0,15637.0,19955.0,10685.0,4363.0,6322.0,13.360354958628132,6.792035398230088,9.767957788703681
2011,Juridicas,Posgrado,Presencial,21384.0,9687.0,11697.0,5796.0,2597.0,3199.0,1301.0,570.0,731.0,2.5924202127659575,0.9900959455277004,2.1469414893617023
2011,Juridicas,Pregrado,Distancia,8862.0,4476.0,4386.0,4965.0,2606.0,2359.0,969.0,453.0,516.0,4.716129032258064,7.326086956521739,4.812903225806451
2011,Juridicas,Pregrado,Presencial,12765.0,6584.0,6181.0,4926.0,2533.0,2393.0,4205.0,2013.0,2192.0,53.28448275862069,58.36585365853659,56.758620689655174
2011,Naturales,Grado,Distancia,3256.0,816.0,2440.0,1121.0,330.0,791.0,22.0,6.0,16.0,0.13050221960742364,0.18259464450600185,0.04364336524576135
2011,Naturales,Grado,Presencial,92075.0,45026.0,47049.0,16040.0,7531.0,8509.0,4160.0,2143.0,2017.0,18.92558326629123,20.454326923076923,18.111826226870473
2011,Naturales,Posgrado,Distancia,7.0,6.0,1.0,7.0,6.0,1.0,0.0,0.0,0.0,0.00047778308647873863,0.001652892561983471,0.002866698518872432
2011,Naturales,Posgrado,Presencial,11663.0,4993.0,6670.0,3485.0,1481.0,2004.0,1208.0,478.0,730.0,36.850828729281766,32.85245901639344,27.585635359116022
2011,Naturales,Pregrado,Distancia,654.0,405.0,249.0,183.0,107.0,76.0,65.0,45.0,20.0,0.5633484162895928,0.987012987012987,0.916289592760181
2011,Naturales,Pregrado,Presencial,8586.0,4501.0,4085.0,2990.0,1532.0,1458.0,737.0,369.0,368.0,inf,inf,inf
2011,Otros,Grado,Distancia,1305.0,722.0,583.0,773.0,469.0,304.0,22.0,9.0,13.0,0.664009111617312,1.1471698113207547,0.8223234624145785
2011,Otros,Grado,Presencial,34874.0,18778.0,16096.0,13521.0,7264.0,6257.0,1670.0,1088.0,582.0,1.532660445629404,2.514871382636656,1.7880403732622359
2011,Otros,Posgrado,Presencial,4263.0,2096.0,2167.0,954.0,564.0,390.0,295.0,218.0,77.0,12.106145251396647,7.5,11.70949720670391
2011,Otros,Pregrado,Distancia,2013.0,939.0,1074.0,945.0,424.0,521.0,59.0,34.0,25.0,3.498371335504886,3.33974358974359,3.0586319218241043
2011,Otros,Pregrado,Presencial,8419.0,4462.0,3957.0,3363.0,1675.0,1688.0,2362.0,947.0,1415.0,0.9260472735782822,1.2205350686912508,1.0442312192838754
2011,Psicologia,Grado,Distancia,810.0,41.0,769.0,195.0,6.0,189.0,27.0,2.0,25.0,1.7358916478555304,1.0738636363636365,0.09255079006772009
2011,Psicologia,Grado,Presencial,120515.0,21810.0,98705.0,24848.0,5113.0,19735.0,6765.0,885.0,5880.0,11.952651973843546,9.731262327416173,2.6410753209009443
2011,Psicologia,Posgrado,Distancia,1259.0,279.0,980.0,500.0,129.0,371.0,119.0,25.0,94.0,490.0,inf,139.5
2011,Psicologia,Posgrado,Presencial,6902.0,1252.0,5650.0,1880.0,367.0,1513.0,345.0,66.0,279.0,11.649484536082474,6.226337448559671,2.5814432989690723
2011,Psicologia,Pregrado,Presencial,3187.0,559.0,2628.0,1284.0,225.0,1059.0,483.0,58.0,425.0,5.676025917926566,8.404761904761905,1.207343412526998
2011,Salud,Grado,Distancia,3086.0,911.0,2175.0,1742.0,535.0,1207.0,506.0,106.0,400.0,1.9736842105263157,4.503731343283582,0.8266787658802178
2011,Salud,Grado,Presencial,228600.0,63196.0,165404.0,51622.0,13714.0,37908.0,15291.0,4053.0,11238.0,1.5089953654709338,1.725051194539249,0.5765427143013538
2011,Salud,Posgrado,Distancia,14.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.07936507936507936
2011,Salud,Posgrado,Presencial,19885.0,7444.0,12441.0,5239.0,2122.0,3117.0,2444.0,1078.0,1366.0,5.509743135518158,6.374233128834356,3.2967227635075287
2011,Salud,Pregrado,Distancia,2236.0,573.0,1663.0,839.0,203.0,636.0,115.0,19.0,96.0,2.1458064516129034,2.5338645418326693,0.7393548387096774
2011,Salud,Pregrado,Presencial,14822.0,3276.0,11546.0,4710.0,1020.0,3690.0,6055.0,1514.0,4541.0,0.5407202734978691,0.5023825731790333,0.15342106495574392
2011,Sociales,Grado,Distancia,7972.0,3002.0,4970.0,3819.0,1498.0,2321.0,128.0,41.0,87.0,2.2987974098057355,2.253398058252427,1.3885291396854764
2011,Sociales,Grado,Presencial,78718.0,33789.0,44929.0,16061.0,7235.0,8826.0,3008.0,1163.0,1845.0,1.7396135826847872,1.6549784361522595,1.3082820304332674
2011,Sociales,Posgrado,Distancia,103.0,33.0,70.0,39.0,5.0,34.0,34.0,4.0,30.0,0.5384615384615384,0.7555555555555555,0.25384615384615383
2011,Sociales,Posgrado,Presencial,13661.0,5386.0,8275.0,4084.0,1650.0,2434.0,1074.0,418.0,656.0,68.95833333333333,36.32835820895522,44.88333333333333
2011,Sociales,Pregrado,Distancia,978.0,267.0,711.0,464.0,131.0,333.0,167.0,42.0,125.0,1.256183745583039,1.4541484716157205,0.4717314487632509
2011,Sociales,Pregrado,Presencial,3207.0,1357.0,1850.0,812.0,333.0,479.0,866.0,343.0,523.0,13.602941176470589,10.644444444444444,9.977941176470589
2012,Arquitectura y Urbanismo,Grado,Presencial,59802.0,30629.0,29173.0,9449.0,4729.0,4720.0,2494.0,1108.0,1386.0,0.2687863934547063,0.21934104744644267,0.2822012972654235
2012,Arquitectura y Urbanismo,Posgrado,Presencial,1192.0,469.0,723.0,423.0,176.0,247.0,50.0,16.0,34.0,0.32320071524362987,0.3859375,0.2096557890031292
2012,Arquitectura y Urbanismo,Pregrado,Presencial,108.0,94.0,14.0,29.0,25.0,4.0,70.0,21.0,49.0,0.0027089783281733747,0.0020855057351407717,0.018188854489164085
2012,Artes,Grado,Distancia,208.0,47.0,161.0,69.0,15.0,54.0,2.0,0.0,2.0,0.01970865467009426,0.03154205607476635,0.005753458195617579
2012,Artes,Grado,Presencial,47059.0,19768.0,27291.0,12385.0,5817.0,6568.0,874.0,267.0,607.0,524.8269230769231,328.4,380.15384615384613
2012,Artes,Posgrado,Presencial,1564.0,472.0,1092.0,537.0,184.0,353.0,59.0,24.0,35.0,inf,inf,inf
2012,Artes,Pregrado,Distancia,177.0,140.0,37.0,87.0,68.0,19.0,3.0,3.0,0.0,0.029272151898734177,0.02043010752688172,0.11075949367088607
2012,Artes,Pregrado,Presencial,3564.0,1896.0,1668.0,1380.0,700.0,680.0,383.0,179.0,204.0,0.011248002265784629,0.026024723487312947,0.012785498978373895
2012,Comunicacion,Grado,Distancia,2089.0,925.0,1164.0,1262.0,622.0,640.0,26.0,4.0,22.0,0.0773062363020522,0.17792604948568252,0.06143322042903633
2012,Comunicacion,Grado,Presencial,97094.0,35065.0,62029.0,20637.0,7907.0,12730.0,5290.0,1621.0,3669.0,31.615188583078492,19.464831804281346,17.872069317023445
2012,Comunicacion,Posgrado,Distancia,73.0,12.0,61.0,34.0,12.0,22.0,0.0,0.0,0.0,0.007070824156717283,0.006754682222904513,0.0013909818013214327
2012,Comunicacion,Posgrado,Presencial,5926.0,1963.0,3963.0,1404.0,481.0,923.0,252.0,73.0,179.0,0.1712248865845755,0.10219220549158547,0.08481313458630374
2012,Comunicacion,Pregrado,Distancia,2421.0,967.0,1454.0,1418.0,578.0,840.0,131.0,33.0,98.0,0.032619912953739845,0.08876677586389094,0.021694261228518866
2012,Comunicacion,Pregrado,Presencial,8551.0,3268.0,5283.0,2254.0,1047.0,1207.0,1627.0,516.0,1111.0,0.8349928876244666,0.5488858572078218,0.5165165165165165
2012,Diseño,Grado,Presencial,44913.0,16017.0,28896.0,9093.0,3322.0,5771.0,1755.0,528.0,1227.0,4.187826086956521,1.3386685223845975,2.321304347826087
2012,Diseño,Posgrado,Presencial,356.0,129.0,227.0,168.0,61.0,107.0,83.0,34.0,49.0,0.05485741904301595,0.06411024565608149,0.031174480425326244
2012,Diseño,Pregrado,Distancia,496.0,239.0,257.0,217.0,102.0,115.0,9.0,4.0,5.0,0.0925792507204611,0.12156448202959831,0.08609510086455331
2012,Diseño,Pregrado,Presencial,4926.0,1557.0,3369.0,1473.0,420.0,1053.0,673.0,203.0,470.0,0.03959755997226173,0.07270091135045567,0.018300208037047048
2012,Economicas,Grado,Distancia,22100.0,10525.0,11575.0,8173.0,4132.0,4041.0,501.0,220.0,281.0,1653.5714285714287,577.2857142857143,1503.5714285714287
2012,Economicas,Grado,Presencial,263111.0,122168.0,140943.0,49232.0,23708.0,25524.0,12943.0,5737.0,7206.0,13.464176538020634,9.638972809667674,11.670615208253725
2012,Economicas,Posgrado,Distancia,96.0,28.0,68.0,93.0,28.0,65.0,18.0,7.0,11.0,0.10397553516819572,0.3551912568306011,0.04281345565749235
