universidad_nombre,institucion_nombre,institucion_direccion,api,coordenadas,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,lat,lon,departamento_id_x,departamento_nombre_x,municipio_id_x,municipio_nombre_x,provincia_id_x,provincia_nombre_x,latitud_x,longitud_x,departamento_id_y,departamento_nombre_y,municipio_id_y,municipio_nombre_y,provincia_id_y,provincia_nombre_y,latitud_y,longitud_y,carrera_grupo,carrera_titulo
Instituto Universitario de Seguridad Maritima,Instituto Universitario de Seguridad Maritima,Av. Corrientes 345,,"-34.6030978,-58.3739408",,,,,,,,,,,,,,,,,,,,,,-34.60309779999999,-58.37394079999999,2007.0,Comuna 1,,,2.0,Ciudad Autonoma de Buenos Aires,-34.60309779999999,-58.37394079999999,2007.0,Comuna 1,,,2.0,Ciudad Autónoma de Buenos Aires,-34.60309779999999,-58.37394079999999,"Sociales,Otros,Economicas,Educacion,Naturales,Ingenieria","Tecnicatura Universitaria en Comunicaciones de Control y Seguridad del Trafico Maritimo, Fluvial y Lacustre,Analista Universitario en Administracion y Contabilidad del Sector Publico con Orientacion en Administracion Maritima,Profesor Universitario en (la disciplina correspondiente a la formacion de grado) - Ciclo de Profesorado,Especialista en Gestion de la Proteccion del Ambiente Acuatico,Tecnicatura Universitaria en Navegacion con Orientacion en Motores,Tecnicatura Universitario en Navegacion con orientacion en Motores,Analista Universitario en Seguridad Maritima,Licenciatura en Administracion y Contabilidad del Sector Publico con orientacion en Administracion Maritima,Tecnicatura Universitario en Gestion Administrativa de Bienes y Servicios del Estado,Analista Universitario en Seguridad del Trabajo en Buques y ambito Portuario,Especialista en Gestion de la Seguridad Maritima y Proteccion Portuaria,Analista Universitaria en Seguridad Maritima,Tecnicatura Universitario en Seguridad con orientacion en Proteccion Maritima y Portuaria,Analista Universitaria en Administracion y Contabilidad del Sector Publico con Orientacion en Administracion Maritima,Tecnicatura Universitario en Navegacion con orientacion en Electricidad,Licenciatura en Seguridad Maritima,Tecnicatura Universitaria en Gestion Administrativa de Bienes y Servicios del Estado,Tecnicatura Universitario en Comunicaciones de Control y Seguridad del Trafico Maritimo, Fluvial y Lacustre,Tecnicatura Universitario en Salvamento y Proteccion Ambiental,Analista Universitaria en Seguridad del Trabajo en Buques y ambito Portuario,Tecnicatura Universitaria en Salvamento y Proteccion Ambiental,Ciclo Comun - Seguridad Maritima,Tecnicatura Universitaria en Navegacion con Orientacion en Electricidad,Tecnicatura Universitaria en Seguridad con Orientacion en Proteccion Maritima y Portuaria,Licenciatura en Administracion y Contabilidad del Sector Publico con Orientacion en Administracion Maritima,Profesor Universitaria en (la disciplina correspondiente a la formacion de grado) - Ciclo de Profesorado,Tecnicatura Universitaria en Navegacion con Orientacion en Proteccion de Buques e Instalaciones Portuarias,Tecnicatura Universitario en Navegacion con Orientacion en Proteccion de Buques e Instalaciones Portuarias"
"Instituto Universitario del Ejercito ""Mayor Francisco Romero""","Instituto Universitario del Ejercito ""Mayor Francisco Romero""",Av. Cabildo 65,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Av. Cabildo 65&provincia=2,"-34.57439170160686,-58.43650022052455",,,,,,,,,,,,,,,,,,,,,,-34.574391701606864,-58.43650022052455,2098.0,Comuna 14,,,2.0,Ciudad Autonoma de Buenos Aires,-34.5743917016069,-58.4365002205246,2098.0,Comuna 14,,,2.0,Ciudad Autónoma de Buenos Aires,-34.574391701606864,-58.43650022052455,"Sociales,Otros,Economicas,Informatica,Educacion,Ingenieria,Salud","Licenciatura en Conduccion y Gestion Operativa con Orientacion Alternativa en Contable,Profesor de Equitacion - Ciclo de Profesorado,Ingenieria Mecanica Orientacion Armamentos,Magister en Gestion Tecnologica,Ingenieria Mecanica Orientacion Mantenimiento,Tecnicatura Universitaria en Higiene y Seguridad en el Trabajo - MD,Especialista en Sistemas de Control,Licenciatura en Conduccion y Gestion Operativa - Orientacion Arsenales,Licenciatura en Conduccion y Gestion Operativa - Orientacion Armas,Especialista en Materiales Explosivos,Ingenieria Geografico,Ingenieria en Electronica,Ingenieria Civil,Especialista en Historia Militar Contemporanea - MD,Especialista en Criptografia y Seguridad TeleInformatica,Licenciatura en Conduccion y Gestion Operativa - Orientacion Intendencia,Profesor Universitaria para la Enseñanza Media y Superior de la Conduccion Militar,Tecnicatura en Geomatica,Licenciatura en Relaciones Internacionales con Orientacion en Escenarios de Conflictos Internacionales, Misiones de Paz y Desarme -,Magister en Estrategia y Geopolitica,Licenciatura en Enfermeria con Orientacion en Emergentologia y Trauma,Licenciatura en Ciencias de la Educacion - Ciclo de Licenciatura,Ingenieria Mecanica Orientacion Automotores,Especialista en Planeamiento y Gestion de Recursos Humanos de Organizaciones Militares Terrestres,Magister en Seguridad e Higiene Ocupacional,Licenciatura en Conduccion y Gestion Operativa con Orientacion Alternativa en Logistica de Material,Ingenieria en Agrimensura Orientacion Geografica,Especialista en Planificacion y Gestion de Recursos Materiales de Organizaciones Militares Terrestres,Especialista en Conduccion Superior de Organizaciones Militares Terrestres,Ingenieria en Informatica,Licenciatura en Estrategia y Organizacion - Ciclo de Licenciatura - MD,Licenciatura en Conduccion y Gestion Operativa con Orientacion Alternativa en Armas,Ingenieria Quimica,Ciclo Comun - Licenciatura en Conduccion y Gestion Operativa,Magister en Estrategia Conjunta y Conduccion Superior,Licenciatura en Administracion,Licenciatura en Estrategia y Organizacion - Ciclo de Licenciatura,Magister en Historia de la Guerra,Ingenieria en Construcciones,Magister en Defensa Nacional,Licenciatura en Relaciones Internacionales,Especialista en Transporte Operativo,Especialista en Mantenimiento"
Instituto Universitario del Gran Rosario,Instituto Universitario del Gran Rosario,Corrientes 1254,,"-32.9512965,-60.6460659",,,,,,,,,,,,,,,,,,,,,,-32.951296500000005,-60.646065899999996,82084.0,Rosario,,,82.0,Santa Fe,-32.951296500000005,-60.6460659,82084.0,Rosario,,,82.0,Santa Fe,-32.951296500000005,-60.646065899999996,"Psicologia,Otros,Salud","Licenciatura en Psicopedagogia,Licenciatura en Ortesis y Protesis,Especialista en Kinesiologia y Fisioterapia del Deporte,Licenciatura en Actividad Fisica,Especialista en Kinesiologia y Fisioterapia Neurologica,Especialista en Kinesiologia y Fisioterapia Cardiorespiratoria,Licenciatura en Kinesiologia y Fisiatria,Licenciatura en Terapia Ocupacional"
Instituto Universitario Escuela Argentina de Negocios,Instituto Universitario Escuela Argentina de Negocios,Av. Cordoba 1690,,"-34.5997447,-58.3934405",,,,,,,,,,,,,,,,,,,,,,-34.5997447,-58.393440500000004,2021.0,Comuna 3,,,2.0,Ciudad Autonoma de Buenos Aires,-34.5997447,-58.3934405,2021.0,Comuna 3,,,2.0,Ciudad Autónoma de Buenos Aires,-34.5997447,-58.393440500000004,"Sociales,Hoteleria, Gastronomia y Turismo,Economicas,Informatica,Comunicacion","Licenciatura en Comercializacion,Licenciatura en Direccion del Factor Humano - Ciclo de Licenciatura,Licenciatura en Administracion de Negocios Internacionales,Licenciatura en Direccion del Factor Humano,Licenciatura en Tecnologia Informatica,Contador Publico,Licenciatura en Administracion Hotelera,Licenciatura en Administracion de Empresas,Licenciatura en Administracion de Empresas Agropecuarias,Licenciatura en Administracion de Empresas - Ciclo de Licenciatura,Licenciatura en Comercializacion - Ciclo de Licenciatura,Licenciatura en Administracion de Negocios Internacionales - Ciclo de Licenciatura"
Instituto Universitario Escuela de Medicina del Hospital Italiano,Instituto Universitario Escuela de Medicina del Hospital Italiano,Potosi 4265,,"-34.6071979,-58.4291149",,,,,,,,,,,,,,,,,,,,,,-34.6071979,-58.429114899999995,2035.0,Comuna 5,,,2.0,Ciudad Autonoma de Buenos Aires,-34.6071979,-58.4291149,2035.0,Comuna 5,,,2.0,Ciudad Autónoma de Buenos Aires,-34.6071979,-58.429114899999995,"Otros,Informatica,Educacion,Psicologia,Salud","Magister en Vinculos, Familias y Diversidad Sociocultural,Especialista en Informatica Medica,Magister en Informatica en Salud - MD,Licenciatura en Instrumentacion Quirurgica - Ciclo de Licenciatura,Medico Especialista en Neonatologia,Especialista en Psiquiatria Infanto Juvenil,Licenciatura en Enfermeria - Ciclo de Licenciatura,Medico,Medico Especialista en Neurologia Infantil,Medico Especialista en Terapia Intensiva Pediatrica,Especialista en Psicologia Vincular de Familias con Niños y Adolescentes,Especialista en Psicologia Clinica de Niños, Adolescentes y Familias,Medico especialista en Ginecologia,Especialista en Oftalmologia,Medico Especialista en Medicina Critica y Terapia Intensiva,Medico especialista en Neumonologia,Magister en Neuropsicologia Aplicada,Especialista en Cardiologia,Doctor en Ciencias de la Salud,Medico Especialista en Psiquiatria,Medico Especialista en Nutricion Pediatrica,Bioquimico,Especialista en Epidemiologia en Control de Infecciones,Licenciatura en Enfermeria,Especialista en Neumonologia,Magister en Educacion para Profesionales de la Salud - MD,Especialista en Neurologia Infantil,Medico Especialista en Osteologia,Medico especialista en Pediatria,Magister en Aterotrombosis, Metabolismo y Medicina Cardiovascular,Magister en Neuropsicologia,Especialista en Docencia Universitaria para Profesionales de la Salud,Magister en Investigacion Clinica,Medico especialista en Cardiologia,Medico Especialista en Cirugia Pediatrica,Farmaceutico,Magister en Endotelio, Aterotrombosis y Medicina Vascular,Especialista en Otorrinolaringologia"
Instituto Universitario Escuela Superior de Economia y Administracion de Empresas,Instituto Universitario Escuela Superior de Economia y Administracion de Empresas,Uriarte 2472,,"-34.5809241,-58.4253568",,,,,,,,,,,,,,,,,,,,,,-34.580924100000004,-58.425356799999996,2098.0,Comuna 14,,,2.0,Ciudad Autonoma de Buenos Aires,-34.580924100000004,-58.4253568,2098.0,Comuna 14,,,2.0,Ciudad Autónoma de Buenos Aires,-34.580924100000004,-58.425356799999996,"Artes,Sociales,Juridicas,Economicas,Comunicacion","Magister en Derecho Empresario,Magister en Administracion de Negocios,Magister en Administracion de Activos Financieros,Licenciatura en Publicidad,Licenciatura en Gestion Empresaria Internacional,Magister en Economia y Ciencias Politicas,Doctor en Administracion de Negocios,Licenciatura en Ciencias Sociales con Especializacion en Sociologia,Licenciatura en Curaduria y Gestion de Arte,Licenciatura en Ciencias Sociales con Especializacion en Periodismo"
Instituto Universitario ISEDET,Instituto Universitario ISEDET,Camacua 282,,"-34.6307959,-58.4656187",,,,,,,,,,,,,,,,,,,,,,-34.630795899999995,-58.4656187,2049.0,Comuna 7,,,2.0,Ciudad Autonoma de Buenos Aires,-34.630795899999995,-58.4656187,2049.0,Comuna 7,,,2.0,Ciudad Autónoma de Buenos Aires,-34.630795899999995,-58.4656187,Sociales,"Bachiller Superior en Teologia,Magister en Sagradas Escrituras,Licenciatura en Teologia,Doctor en Teologia"
Instituto Universitario Italiano de Rosario,Instituto Universitario Italiano de Rosario,Crespo 843,,"-32.9415838,-60.6705633",,,,,,,,,,,,,,,,,,,,,,-32.9415838,-60.67056329999999,82084.0,Rosario,,,82.0,Santa Fe,-32.9415838,-60.67056329999999,82084.0,Rosario,,,82.0,Santa Fe,-32.9415838,-60.67056329999999,"Educacion,Psicologia,Salud","Medico Especialista en Neonatologia,Magister en Educacion en Ciencias de la Salud,Medico especialista en Cirugia General,Medico Especialista en Cirugia Toracica y Cardiovascular,Medico,Doctor en Ciencias Biomedicas,Medico especialista en Nefrologia,Medico especialista en Ginecologia y Obstetricia,Medico Especialista en Hematologia,Licenciatura en Psicologia,Odontologo,Medico Especialista en Inmunologia y Alergia,Medico especialista en Medicina Interna,Licenciatura en Enfermeria,Magister en Educacion Medica,Medico especialista en Pediatria,Medico especialista en Urologia,Enfermero/a,Medico Especialista en Terapia Intensiva"
"Instituto Universitario Nacional de Derechos Humanos ""Madres de Plaza de Mayo""","Instituto Universitario Nacional de Derechos Humanos ""Madres de Plaza de Mayo""",Av. Pueyrredon 19,,"-34.6097284,-58.4079993",,,,,,,,,,,,,,,,,,,,,,-34.6097284,-58.4079993,2021.0,Comuna 3,,,2.0,Ciudad Autonoma de Buenos Aires,-34.6097284,-58.4079993,2021.0,Comuna 3,,,2.0,Ciudad Autónoma de Buenos Aires,-34.6097284,-58.4079993,"Sociales,Juridicas,Psicologia,Educacion,Comunicacion","Licenciatura en Historia,Abogado,Ciclo Historia,Licenciatura en Comunicacion,Profesor en Historia,Licenciatura en Trabajo Social"
Instituto Universitario Nacional del Arte,Instituto Universitario Nacional del Arte,Azcuenaga 1129,,"-34.5946906,-58.4018519",,,,,,,,,,,,,,,,,,,,,,-34.5946906,-58.4018519,2014.0,Comuna 2,,,2.0,Ciudad Autonoma de Buenos Aires,-34.5946906,-58.4018519,2014.0,Comuna 2,,,2.0,Ciudad Autónoma de Buenos Aires,-34.5946906,-58.4018519,"Artes,Sociales,Diseño,Educacion,Salud","Licenciatura en Artes Musicales Orientacion en Direccion Orquestal,Licenciatura en Artes Visuales con Orientacion en Escultura,Licenciatura en Artes Visuales con Orientacion en Pintura,Licenciatura en Composicion Coreografica Mencion en Danza - Teatro,Licenciatura en Artes Musicales Orientacion en Composicion con Medios Electroacusticos,Licenciatura en Multimedios,Tecnicatura en Ceramica,Licenciatura en Actuacion,Tecnicatura en Conservacion - Restauracion de Bienes Culturales,Profesor de Artes en Artes Visuales para el Nivel Inicial, EGB I y II,Interprete de Danza,Especialista en Sonido Aplicado a las Artes Digitales,Magister en Cultura y Sociedad con mencion Salud,Licenciatura en Artes Musicales Orientacion en Canto,Licenciatura en Folklore Mencion Instrumentos Criollos,Licenciatura en Composicion Coreografica Mencion en Danza,Licenciatura en Artes Audiovisuales Orientacion Montaje,Licenciatura en Artes Musicales Orientacion en Instrumento,Magister en Cultura y Sociedad con mencion Creencias,Licenciatura en Artes Audiovisuales,Especialista en Teatro de Objetos, Interactividad y Nuevos Medios,Profesor de Artes en Danza para el Nivel Inicial, EGB I y II,Tecnicatura en Iluminacion de Espectaculos,Licenciatura en Artes Visuales Orientacion Artes del Fuego,Especialista en Lenguajes Artisticos Combinados,Especialista en Arte Terapia,Especialista en Medios y Tecnologias para la Produccion Pictorica,Licenciatura en Artes Audiovisuales Orientacion Guion,Profesor de Artes en Artes Visuales Orientacion Artes del Fuego,Profesor de Artes en Folklore Mencion Instrumentos Criollos,Licenciatura en Artes Audiovisuales Orientacion Produccion,Especialista en Produccion de Textos Criticos y de Difusion Mediatica de las Artes,Magister en Dramaturgia,Licenciatura en Artes Visuales con Orientacion en Digitalizacion de Imagenes,Licenciatura en Composicion Coreografica Mencion en Expresion Corporal,Licenciatura en Artes Visuales con Orientacion en Dibujo,Profesor de Arte en Artes Visuales Mencion Artes del Fuego para el Nivel Inicial, EGB I Y II,Especialista en Tendencias Contemporaneas de la Danza,Profesor de Artes en Danza Mencion Danzas Folkloricas y Tango para el Nivel Inicial, EGB I y II,Profesor de Artes en Danza Mencion en Danzas Folkloricas y Tango,Profesor de Artes en Danza Mencion en Expresion Corporal,Profesor de Artes en Teatro,Licenciatura en Artes Musicales Orientacion en Direccion Coral,Tecnicatura en Artes Multimediales,Licenciatura en Diseño de Iluminacion de Espectaculos,Licenciatura en Artes Visuales con Orientacion en Grabado y Arte Impreso,Licenciatura en Conservacion - Restauracion de Bienes Culturales,Licenciatura en Artes Audiovisuales Orientacion Iluminacion y Camara,Profesor de Artes en Musica,Licenciatura en Artes Musicales Orientacion en Composicion,Profesor de Artes en Danza con Mencion en Expresion Corporal para el Nivel Inicial, EGB I y II,Profesor de Artes en Danza,Licenciatura en Folklore Mencion Tango,Licenciatura en Composicion Coreografica Mencion en Comedia Musical,Maestria en Critica y Difusion de las Artes,Licenciatura en Curaduria en Artes,Licenciatura en Artes Audiovisuales Orientacion Audiovision,Profesor de Artes en Teatro para el Nivel Inicial, EGB I y II,Licenciatura en Escenografia,Profesor de Artes en Artes Visuales,Licenciatura en Folklore Mencion Danzas Folkloricas y Tango,Profesor de Artes en Musica para el Nivel Inicial, EGB I y II,Licenciatura en Direccion Escenica,Licenciatura en Folklore Mencion Culturas Tradicionales,Interprete en Instrumentos Criollos,Licenciatura en Critica de las Artes,Licenciatura en Artes Audiovisuales Orientacion Realizacion,Especialista en Gestion y Administracion Cultural,Magister en Danza Movimiento Terapia,Especialista en Dramaturgia,Interprete en Danzas Folkloricas y Tango"
Instituto Universitario Naval,Instituto Universitario Naval,Francisco Narciso de Laprida 555,,"-34.5945248,-58.469703",,,,,,,,,,,,,,,,,,,,,,-34.594524799999995,-58.469703,2105.0,Comuna 15,,,2.0,Ciudad Autonoma de Buenos Aires,-34.594524799999995,-58.469703,2105.0,Comuna 15,,,2.0,Ciudad Autónoma de Buenos Aires,-34.594524799999995,-58.469703,"Sociales,Otros,Economicas,Naturales,Ingenieria","Licenciatura en Sistemas Navales,Ingenieria en Propulsion Naval Orientacion Electricidad,Ingenieria en Propulsion Naval Orientacion Maquinas,Licenciatura en Recursos Navales para la Defensa con Orientacion Comando Naval,Especialista en Estrategia Operacional y Planeamiento Militar Conjunto,Especialista en Intereses Maritimos,Licenciatura en Administracion Naval,Bachiller Universitaria en Administracion Naval,Licenciatura en Plantas Propulsoras Marinas,Licenciatura en Cartografia,Especialista en Conduccion Tactica y Operacional Naval,Ciclo Comun - Recursos Navales para la Defensa,Licenciatura en Recursos Navales para la Defensa con Orientacion alternativa en Comando Infanteria de Marina,Licenciatura en Sistemas Navales Aereos,Licenciatura en Transporte Maritimo,Tecnicatura Universitaria en Cartografia,Magister en Estudios Estrategicos,Licenciatura en Recursos Navales para la Defensa con Orientacion alternativa en Comando Naval,Licenciatura en Recursos Navales para la Defensa con Orientacion Comando Infanteria de Marina"
Instituto Universitario Patagonico de las Artes,Instituto Universitario Patagonico de las Artes,"Rivadavia 2263,",,"-39.0178878,-67.5960898",,,,,,,,,,,,,,,,,,,,,,-39.0178878,-67.59608979999999,62042.0,General Roca,620161.0,Gral. Roca,62.0,Rio Negro,-39.0178878,-67.59608979999999,62042.0,General Roca,620161.0,Gral. Roca,62.0,Río Negro,-39.0178878,-67.59608979999999,Artes,"Licenciatura en Musica Popular,Profesor Universitario de Artes Visuales,Profesor/a Universitario/a de Interpretacion Musical con Orientacion en Instrumento,Profesor/a Universitario/a de Musica con Orientacion en Direccion Orquestal,Profesor Universitario de Teatro,Profesor/a Universitario/a de Interpretacion Musical con orientacion en Canto,Profesor/a Universitario/a de Direccion Coral,Profesor Universitario de Danzas Folkloricas,Profesor Universitario de Danzas Españolas,Profesor/a Universitario/a de Musica con Orientacion en Composicion,Profesor Universitario de Danza Clasica,Profesor Universitario de Educacion Musical,Profesor/a Universitario/a de Artes Audiovisuales"
Instituto Universitario River Plate,Instituto Universitario River Plate,Av. Pres. Figueroa Alcorta 7597,,"-34.5453018,-58.4519636",,,,,,,,,,,,,,,,,,,,,,-34.5453018,-58.451963600000006,2091.0,Comuna 13,,,2.0,Ciudad Autonoma de Buenos Aires,-34.5453018,-58.451963600000006,2091.0,Comuna 13,,,2.0,Ciudad Autónoma de Buenos Aires,-34.5453018,-58.451963600000006,"Educacion,Economicas,Comunicacion,Otros","Profesor Universitaria en Educacion Fisica,Analista Universitario en Administracion,Licenciatura en Administracion del Deporte,Licenciatura en Administracion,Licenciatura en Educacion Fisica,Profesor Universitario en Educacion Fisica,Licenciatura en Marketing Deportivo"
Pontificia Universidad Catolica Argentina Santa Maria de los Buenos Aires,Pontificia Universidad Catolica Argentina Santa Maria de los Buenos Aires,AvENIDA Alicia Moreau de Justo 1600,http://apis.datos.gob.ar/georef/api/direcciones?direccion=AvENIDA Alicia Moreau de Justo 1600&provincia=2,"-34.6148453,-58.3668853",,,,,,,,,,,,,,,,,,,,,,-34.6148453,-58.3668853,2007.0,Comuna 1,,,2.0,Ciudad Autonoma de Buenos Aires,-34.6148453,-58.3668853,2007.0,Comuna 1,,,2.0,Ciudad Autónoma de Buenos Aires,-34.6148453,-58.3668853,"Artes,Sociales,Otros,Juridicas,Comunicacion,Economicas,Informatica,Educacion,Naturales,Exactas,Psicologia,Ingenieria,Salud","Licenciatura en Musica Cinematografica,Especialista en Logistica,Profesor de Educacion Inicial,Licenciatura en Ciencias Politicas,Asistente Psicopedagogico,Tecnicatura Universitario en Derecho,Licenciatura en Administracion de Empresas,Licenciatura en Letras - Ciclo de Licenciatura,Doctor en Ciencias Biomedicas,Licenciatura en Teologia con Orientacion en Teologia Moral,Bibliotecario,Especialista en Higiene y Seguridad en el Trabajo,Licenciatura en Composicion,Licenciatura en Economia,Especialista en Cirugia Plastica Infantil,Profesor en Ingles,Licenciatura en Quimica,Especialista en Kinesiologia Cardio - Respiratoria,Licenciatura en Educacion Especial,Especialista en Seguridad, Higiene y Proteccion Ambiental,Tecnicatura Universitaria en Programacion y Operacion de Computadoras,Doctor en Historia,Tecnicatura Universitaria en Lenguaje Musical Basico,Especialista en Derecho del Trabajo,Especialista en Periodoncia,Licenciatura en Ciencias del Ambiente,Especialista en Informacion Juridica y Tecnicas Legislativas,Licenciatura en Educacion Fisica,Licenciatura en Psicologia,Notario,Ayudante de Gabinete,Profesor Superior en...(en el Campo de la Disciplina) - Ciclo de Profesorado,Medico especialista en Geriatria,Magister en Ingenieria Ambiental y Desarrollo Sustentable,Licenciatura en Quimica Industrial,Licenciatura en Teologia especializacion en Sagrada Escritura,Doctor en Derecho Canonico,Especialista en Neurocirugia,Especialista en Flebologia y Linfologia,Profesor en Educacion Especial con Orientacion en Discapacidad Auditiva, Intelectual o Visual,Ingenieria en Informatica,Profesor en Letras,Tecnicatura Universitario en Control y Gestion de Calidad de Alimentos,Licenciatura en Musicologia, Critica, Teoria y Cognicion Musical,Especialista en Ortodoncia y Ortopedia Maxilar,Licenciatura en Ingles,Licenciatura en Relaciones Internacionales,Licenciatura en Higiene y Seguridad en el Trabajo,Medico Legista,Especialista en Medicina Legal,Licenciatura en Administracion de Entidades Financieras,Especialista en Clinica Estomatologica,Especialista en Oftalmologia Infantil,Magister en Direccion de Empresas,Especialista en Ingenieria de Software,Doctor en Medicina,Abogado especializado para la Magistratura,Medico especialista en Cirugia Plastica y Reparadora,Especialista en Odontologia para Niños y Adolescentes,Tecnicatura Universitaria en Periodismo,Analista Administrativo Contable,Ingenieria Civil,Especialista en Derecho de Daños,Licenciatura en Recursos Humanos,Profesor en Ciencias de la Educacion - Ciclo de Profesorado,Especialista en Derecho de Familia,Medico Especialista en Otorrinolaringologia,Licenciatura en Marketing,Contador Publico,Licenciatura en Sistemas y Computacion,Licenciatura en Tecnologia de los Alimentos,Asistente en Publicidad,Abogado especialista en Asesoramiento de Empresas,Licenciatura en Ciencias de la Educacion - Ciclo de Licenciatura,Abogado especialista en Derecho de Alta Tecnologia,Bachiller en Teologia,Especialista en Medicina del Trabajo,Cronista Redactor,Magister en Derecho Civil Patrimonial,Licenciatura en Nutricion,Licenciatura en Comunicacion Digital e Interactiva - Ciclo de Licenciatura,Analista en Gestion Administrativa,Tecnicatura Universitaria en Produccion Agropecuaria,Especialista en Derecho Tributario,Analista Ambiental Universitaria,Especialista en Endodoncia,Tecnicatura en Organizacion Bancaria,Doctor en Derecho,Especialista en Ortopedia y Traumatologia,Analista de Sistemas,Doctor en Economia,Licenciatura en Psicopedagogia - Ciclo de Licenciatura,Especialista en Sindicatura Concursal,Especialista en Medicina Critica,Traductor Publico en Ingles - Ciclo de Traductorado,Especialista en Cirugia y Traumatologia Bucomaxilofacial,Ingenieria en Alimentos,Doctor en Musica,Medico,Medico Especialista en Neurocirugia,Profesor de Educacion Primaria,Doctor en Ciencias Juridicas,Licenciatura en Historia,Medico Especialista en Enfermedades Infecciosas,Doctor en Ciencias Juridicas y Sociales,Magister en Derecho Empresario Economico,Licenciatura en Gestion Educativa - Ciclo de Licenciatura,Ingenieria Electronica,Profesor en Ingles - Ciclo Profesorado,Bachiller Universitario en Ingles,Licenciatura en Filosofia,Traductor Publico en Idioma Ingles,Especialista en Clinica Pediatrica,Martillero Publico, Corredor ( Inmobiliario y Mobiliario ), Administrador de Consorcios y Tasador,Graduado en Organizacion Bancaria,Odontologo,Magister en Direccion y Finanzas Empresarias,Licenciatura en Comunicacion Publicitaria e Institucional,Analista Ambiental Universitario,Medico Especialista en Psiquiatria,Licenciatura en Psicopedagogia,Licenciatura en Filosofia - Ciclo de Licenciatura,Especialista en Derecho Penal,Licenciatura en Teologia especializacion en Historia de la Iglesia,Licenciatura en Composicion - Ciclo de Licenciatura,Magister en Administracion de Empresas,Tecnicatura Universitaria en Produccion Musical Aplicada a los Medios Audiovisuales,Tecnicatura Universitario en Produccion Agropecuaria,Licenciatura en Direccion Orquestal,Profesor en Teologia,Licenciatura en Letras,Licenciatura en Teologia especializacion en Teologia Dogmatica,Licenciatura en Ingles - Ciclo de Licenciatura,Especialista en Derecho Constitucional,Licenciatura en Musica Popular,Doctor en Psicopedagogia,Analista Universitario en Recursos Humanos,Magister en etica Biomedica,Magister en Sociologia,Magister en Derecho Tributario,Tecnicatura Universitario en Tecnologia de los Alimentos,Especialista en Doctrina Social de la Iglesia,Medico especialista en Cardiologia,Doctor en Filosofia,Profesor en Ingles (Nivel Superior),Licenciatura en Ciencias de la Educacion,Medico especialista en Nutricion,Ingenieria en Electronica y Comunicaciones,Tecnicatura Administrativo en Produccion Regional,Abogado,Tecnicatura en Administracion Publica,Tecnicatura Universitario en Produccion Musical Aplicada a los Medios Audiovisuales,Traductor Publico en Ingles,Tecnicatura Universitario en Produccion Musical,Licenciatura en Enfermeria - Ciclo de Licenciatura,Abogado especialista en Derecho Administrativo Economico,Medico especialista en Nefrologia,Licenciatura en Comunicacion Periodistica,Magister en Economia Aplicada,Medico especialista en Oncologia Clinica,Licenciatura en Direccion y Supervision Educativas – Ciclo de Licenciatura,Especialista en Derecho Ambiental,Doctor en Sociologia,Licenciatura en Teologia con orientacion en Teologia Moral,Doctor en Teologia,Doctor en Ciencias Politicas,Licenciatura en Piano,Doctor en Psicologia,Ingenieria Ambiental,Profesor en Historia,Procurador,Doctor en Administracion de Empresas,Magister en Gestion de la Empresa Agroalimentaria,Doctor en Letras,Ingenieria en Produccion Agropecuaria,Magister en Comunicacion Audiovisual,Licenciatura en Teologia especializacion en Teologia Pastoral,Especialista en Microbiologia Clinica,Especialista en Cirugia Gastroenterologica,Especialista en Implantologia Oral,Licenciatura en Direccion Coral,Especialista en Derecho Administrativo Economico,Licenciatura en Derecho Canonico,Licenciatura en Direccion Orquestal - Ciclo de Licenciatura,Profesor en Ingles para la Enseñanza Superior,Especialista en Medicina del Deporte,Profesor en Filosofia,Ingenieria Industrial,Abogado especialista en Derecho Ambiental,Especialista en Gestion de la Industria Agroalimentaria"
